set NODES:=Belluno Feltre Cortina_dAmpezzo Padova Abano_Terme Este Rovigo Adria Porto_Tolle Treviso Conegliano Milano Montebelluna Venezia Chioggia Mirano Verona Bardolino Peschiera_del_Garda Vicenza Bassano_del_Grappa Marostica;
param: ARCS: cost:=
Cortina_dAmpezzo Venezia 123
Cortina_dAmpezzo Abano_Terme 134
Cortina_dAmpezzo Este 150
Cortina_dAmpezzo Padova 127
Cortina_dAmpezzo Adria 165
Cortina_dAmpezzo Porto_Tolle 177
Cortina_dAmpezzo Rovigo 165
Feltre Milano 220
Feltre Bardolino 106
Feltre Peschiera_del_Garda 115
Feltre Verona 96
Feltre Bassano_del_Grappa 31
Feltre Marostica 36
Feltre Vicenza 59
Feltre Belluno 27
Feltre Cortina_dAmpezzo 60
Feltre Conegliano 33
Feltre Montebelluna 29
Feltre Treviso 47
Feltre Chioggia 93
Feltre Mirano 60
Feltre Venezia 73
Feltre Abano_Terme 74
Feltre Este 90
Feltre Padova 68
Feltre Adria 108
Feltre Porto_Tolle 123
Feltre Rovigo 106
Conegliano Milano 247
Conegliano Bardolino 129
Conegliano Peschiera_del_Garda 135
Conegliano Verona 113
Conegliano Bassano_del_Grappa 46
Conegliano Marostica 52
Conegliano Vicenza 70
Conegliano Belluno 29
Conegliano Cortina_dAmpezzo 73
Conegliano Feltre 33
Conegliano Montebelluna 23
Conegliano Treviso 25
Conegliano Chioggia 74
Conegliano Mirano 46
Conegliano Venezia 50
Conegliano Abano_Terme 71
Conegliano Este 89
Conegliano Padova 63
Conegliano Adria 94
Conegliano Porto_Tolle 104
Conegliano Rovigo 99
Montebelluna Milano 225
Montebelluna Bardolino 106
Montebelluna Peschiera_del_Garda 112
Montebelluna Verona 90
Montebelluna Bassano_del_Grappa 24
Montebelluna Marostica 30
Montebelluna Vicenza 46
Montebelluna Belluno 42
Montebelluna Cortina_dAmpezzo 85
Montebelluna Feltre 29
Montebelluna Conegliano 23
Montebelluna Treviso 20
Montebelluna Chioggia 64
Montebelluna Mirano 32
Montebelluna Venezia 44
Montebelluna Abano_Terme 50
Montebelluna Este 68
Montebelluna Padova 43
Montebelluna Adria 80
Montebelluna Porto_Tolle 94
Montebelluna Rovigo 81
Treviso Milano 239
Treviso Bardolino 120
Treviso Peschiera_del_Garda 124
Treviso Verona 101
Treviso Bassano_del_Grappa 41
Treviso Marostica 47
Treviso Vicenza 56
Treviso Belluno 52
Treviso Cortina_dAmpezzo 97
Treviso Feltre 47
Treviso Conegliano 25
Treviso Montebelluna 20
Treviso Chioggia 50
Treviso Mirano 22
Treviso Venezia 27
Treviso Abano_Terme 49
Treviso Este 67
Treviso Padova 41
Treviso Adria 70
Treviso Porto_Tolle 80
Treviso Rovigo 75
Chioggia Milano 244
Chioggia Bardolino 127
Chioggia Peschiera_del_Garda 127
Chioggia Verona 104
Chioggia Bassano_del_Grappa 74
Chioggia Marostica 76
Chioggia Vicenza 68
Chioggia Belluno 102
Chioggia Cortina_dAmpezzo 147
Chioggia Feltre 93
Chioggia Conegliano 74
Chioggia Montebelluna 64
Chioggia Treviso 50
Chioggia Mirano 33
Chioggia Venezia 24
Chioggia Abano_Terme 41
Chioggia Este 49
Chioggia Padova 38
Chioggia Adria 25
Chioggia Porto_Tolle 30
Chioggia Rovigo 42
Mirano Milano 228
Mirano Bardolino 109
Mirano Peschiera_del_Garda 111
Mirano Verona 87
Mirano Bassano_del_Grappa 42
Mirano Marostica 45
Mirano Vicenza 44
Mirano Belluno 72
Mirano Cortina_dAmpezzo 116
Mirano Feltre 60
Mirano Conegliano 46
Mirano Montebelluna 32
Mirano Treviso 22
Mirano Chioggia 33
Mirano Venezia 19
Mirano Abano_Terme 29
Mirano Este 46
Mirano Padova 21
Mirano Adria 49
Mirano Porto_Tolle 63
Mirano Rovigo 53
Venezia Milano 246
Venezia Bardolino 127
Venezia Peschiera_del_Garda 129
Venezia Verona 105
Venezia Bassano_del_Grappa 60
Venezia Marostica 64
Venezia Vicenza 63
Venezia Belluno 79
Venezia Cortina_dAmpezzo 123
Venezia Feltre 73
Venezia Conegliano 50
Venezia Montebelluna 44
Venezia Treviso 27
Venezia Chioggia 24
Venezia Mirano 19
Venezia Abano_Terme 44
Venezia Este 58
Venezia Padova 36
Venezia Adria 48
Venezia Porto_Tolle 54
Venezia Rovigo 59
Abano_Terme Milano 204
Abano_Terme Bardolino 86
Abano_Terme Peschiera_del_Garda 86
Abano_Terme Verona 63
Abano_Terme Bassano_del_Grappa 46
Abano_Terme Marostica 44
Abano_Terme Vicenza 28
Abano_Terme Belluno 93
Abano_Terme Cortina_dAmpezzo 134
Abano_Terme Feltre 74
Abano_Terme Conegliano 71
Abano_Terme Montebelluna 50
Abano_Terme Treviso 49
Abano_Terme Chioggia 41
Abano_Terme Mirano 29
Abano_Terme Venezia 44
Abano_Terme Este 18
Abano_Terme Padova 9
Abano_Terme Adria 40
Abano_Terme Porto_Tolle 62
Abano_Terme Rovigo 32
Este Milano 195
Este Bardolino 81
Este Peschiera_del_Garda 79
Este Verona 57
Este Bassano_del_Grappa 60
Este Marostica 58
Este Vicenza 37
Este Belluno 110
Este Cortina_dAmpezzo 150
Este Feltre 90
Este Conegliano 89
Este Montebelluna 68
Este Treviso 67
Este Chioggia 49
Este Mirano 46
Este Venezia 58
Este Abano_Terme 18
Este Padova 26
Este Adria 37
Este Porto_Tolle 62
Este Rovigo 20
Padova Milano 210
Padova Bardolino 92
Padova Peschiera_del_Garda 93
Padova Verona 69
Padova Bassano_del_Grappa 42
Padova Marostica 42
Padova Vicenza 30
Padova Belluno 86
Padova Cortina_dAmpezzo 127
Padova Feltre 68
Padova Conegliano 63
Padova Montebelluna 43
Padova Treviso 41
Padova Chioggia 38
Padova Mirano 21
Padova Venezia 36
Padova Abano_Terme 9
Padova Este 26
Padova Adria 42
Padova Porto_Tolle 62
Padova Rovigo 38
Adria Milano 230
Adria Bardolino 118
Adria Peschiera_del_Garda 115
Adria Verona 94
Adria Bassano_del_Grappa 83
Adria Marostica 83
Adria Vicenza 68
Adria Belluno 121
Adria Cortina_dAmpezzo 165
Adria Feltre 108
Adria Conegliano 94
Adria Montebelluna 80
Adria Treviso 70
Adria Chioggia 25
Adria Mirano 49
Adria Venezia 48
Adria Abano_Terme 40
Adria Este 37
Adria Padova 42
Adria Porto_Tolle 25
Adria Rovigo 21
Porto_Tolle Milano 254
Porto_Tolle Bardolino 143
Porto_Tolle Peschiera_del_Garda 140
Porto_Tolle Verona 118
Porto_Tolle Bassano_del_Grappa 102
Porto_Tolle Marostica 103
Porto_Tolle Vicenza 91
Porto_Tolle Belluno 132
Porto_Tolle Cortina_dAmpezzo 177
Porto_Tolle Feltre 123
Porto_Tolle Conegliano 104
Porto_Tolle Montebelluna 94
Porto_Tolle Treviso 80
Porto_Tolle Chioggia 30
Porto_Tolle Mirano 63
Porto_Tolle Venezia 54
Porto_Tolle Abano_Terme 62
Porto_Tolle Este 62
Porto_Tolle Padova 62
Porto_Tolle Adria 25
Porto_Tolle Rovigo 45
Rovigo Milano 209
Rovigo Bardolino 99
Rovigo Peschiera_del_Garda 95
Rovigo Verona 75
Rovigo Bassano_del_Grappa 77
Rovigo Marostica 76
Rovigo Vicenza 56
Rovigo Belluno 123
Rovigo Cortina_dAmpezzo 165
Rovigo Feltre 106
Rovigo Conegliano 99
Rovigo Montebelluna 81
Rovigo Treviso 75
Rovigo Chioggia 42
Rovigo Mirano 53
Rovigo Venezia 59
Rovigo Abano_Terme 32
Rovigo Este 20
Rovigo Padova 38
Rovigo Adria 21
Rovigo Porto_Tolle 45;
param netDemand:=
Belluno 0
Feltre 0
Cortina_dAmpezzo 0 
Padova 0
Abano_Terme 0
Este 0
Rovigo 0
Adria 0
Porto_Tolle 0
Treviso 0
Conegliano 0
Montebelluna 0
Venezia -1
Chioggia 0
Mirano 0
Verona 0
Bardolino 0
Peschiera_del_Garda 0
Vicenza 0
Bassano_del_Grappa 0
Marostica 0
Milano 1;
param packages:=
Belluno	20
Feltre	15
Cortina_dAmpezzo	10
Padova	50
Abano_Terme	25
Este	15
Rovigo	30
Adria	25
Porto_Tolle	5
Treviso	40
Conegliano	20
Montebelluna	20
Venezia	70
Chioggia	30
Mirano	25
Verona	60
Bardolino	10
Peschiera_del_Garda	15
Vicenza	45
Bassano_del_Grappa	25
Marostica	20
Milano	0;
